,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.4968,@Fox,0.89,0.0,0.11,@fox HEY GREG DID YOU NOTICE THAT TRUMP NEVER LOOKED DOWN ATTHE GIRL LOOKED HER STRAIGHT IN THE EYES!! THE REST IS B/S TRYTO COME B/t DT/M/T,301
1,0.0,@Fox,1.0,0.0,0.0,@BBC @CNN @FOX @FT @nytimes @DailyMailUK @Independent @FRANCE24 @afpfr @WELT_News @krone_at @RaiNews @LaStampa @AP… https://t.co/MMdsc2HwoI,302
2,0.7241,@Fox,0.791,0.0,0.209,@FOX NEWS JUAN THATS NOT TRUE LOOKING RIGHT AT SURVEY DOESNT SAY THAT AT ALL ASKS HOW IMPORTANT IS IT TO YOU as A PRIORITY1-10 ILLEGALREFORM,303
3,-0.5574,@Fox,0.825,0.175,0.0,@dhaywood99 @thedecider99 @realDonaldTrump And this is the only shit he'll print that ain't from faux @Fox. There'z… https://t.co/KvQduAfnOs,304
4,0.623,@Fox,0.797,0.0,0.203,"RT @fox: Company: Diversity and inclusion are really important to us!

Company has:

→ Zero women
→ Women only in support, marketing or off…",305
5,0.0,@Fox,1.0,0.0,0.0,@fox https://t.co/a6gJDBYvhC,306
6,0.0,@Fox,1.0,0.0,0.0,@BrazilStat X @DFB_Team_EN Vc Perceberam que a Bola da Copa  quando Chutada com Força ela Sobe Será a Nova Jabulani… https://t.co/uphiDD1lne,307
7,0.0,@Fox,1.0,0.0,0.0,"RT @bradfordcohen: @browardschools @browards @USATODAY @fox @foxandfriends @nbc @HLNTV @GMA @TODAYshow My client ""Josh"" gets a snapchat fro…",308
8,0.0,@Fox,1.0,0.0,0.0,RT @srpbypnr: @UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Nasıl kıydınız? Değer miydi? Ne oldu şimd…,309
9,0.623,@Fox,0.797,0.0,0.203,"RT @fox: Company: Diversity and inclusion are really important to us!

Company has:

→ Zero women
→ Women only in support, marketing or off…",310
10,0.0,@Fox,1.0,0.0,0.0,@RNC @NRA @GOP @FOX  @POLITICO @MSNBC @ABC @CBS #MSM #WAPO   @DNC @POTUS @HouseDemocrats  @RepMaxineWaters seems to… https://t.co/oEkYPLrgxR,311
11,-0.7964,@Fox,0.608,0.392,0.0,shove it up your ass @fox you're all deplorable pieces of shit https://t.co/HupJRsHnu2,312
12,0.0,@Fox,1.0,0.0,0.0,"RT @srpbypnr: @UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Esnaf ister belediye yol açar, çimse iste…",313
13,0.0,@Fox,1.0,0.0,0.0,RT @UDinckal: Böl parçala yok et !! Nasıl kıydınız bu ağaçlara bu yesiliklere!! Belediye baskani bizzat başında durdu seyretti #cimturyikil…,314
14,0.0,@Fox,1.0,0.0,0.0,RT @UDinckal: @srpbypnr @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Asla unutmayacağız aslaa elbet hesap günü…,315
15,0.0,@Fox,1.0,0.0,0.0,RT @srpbypnr: @UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Nasıl kıydınız? Değer miydi? Ne oldu şimd…,316
16,0.0,@Fox,1.0,0.0,0.0,RT @UDinckal: Böl parçala yok et !! Nasıl kıydınız bu ağaçlara bu yesiliklere!! Belediye baskani bizzat başında durdu seyretti #cimturyikil…,317
17,0.0,@Fox,1.0,0.0,0.0,"RT @srpbypnr: @UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Esnaf ister belediye yol açar, çimse iste…",318
18,0.0,@Fox,1.0,0.0,0.0,@UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya İllaki,319
19,0.0,@Fox,1.0,0.0,0.0,RT @UDinckal: @srpbypnr @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Asla unutmayacağız aslaa elbet hesap günü…,320
20,0.0,@Fox,1.0,0.0,0.0,"RT @srpbypnr: @UDinckal @MehmetAliDim @alper_kutay @KucukkayaIsmail @fox @yenialanya @DimTVAlanya Esnaf ister belediye yol açar, çimse iste…",321
