,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",401
1,0.0,@nytimes,1.0,0.0,0.0,"⏹️✍️🔊🔊🔊 👇#RepublicaCatalana 
@Reuters
@AP
@BBCNews 
@guardian
@Independent
@thetimes
@nytimes
@washingtonpost… https://t.co/dOVBWbZqSy",402
2,0.7184,@nytimes,0.739,0.0,0.261,"@Myron1Myrone @nytimes You'll notice that every time public support for something gets too strong, the GOP gets on… https://t.co/0DHWVkra2A",403
3,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",404
4,0.872,@nytimes,0.452,0.0,0.548,"@RogueGinny @nytimes And you my d-d-d-d Dear,  look like a beautiful p-p-p painting.  ;)",405
5,0.0,@nytimes,1.0,0.0,0.0,"RT @voxnoticias_es: Raphael Minder, el corresponsal del @nytimes amigo personal de Mas, admirador de Forcadell y gustoso tertuliano en TV3,…",406
6,-0.8225,@nytimes,0.677,0.323,0.0,RT @nytimes: A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally tripping the emer…,407
7,0.3182,@nytimes,0.859,0.0,0.141,"#HelpCatalonia
Please, show to the world what happens in Catalonia. 
@nytimes @thetimes @LaStampa @FrancePresseXVI… https://t.co/aITNBw2CCT",408
8,0.0,@nytimes,1.0,0.0,0.0,RT @Santi_ABASCAL: @RaphaelMinder @ivanedlm @boye_g @Ortega_Smith Curiosa determinación del corresponsal del @nytimes por eludir las activi…,409
9,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",410
10,0.0,@nytimes,1.0,0.0,0.0,RT @Santi_ABASCAL: @RaphaelMinder @ivanedlm @boye_g @Ortega_Smith Curiosa determinación del corresponsal del @nytimes por eludir las activi…,411
11,0.0,@nytimes,1.0,0.0,0.0,@DeadlineWH @nytimes @NicolleDWallace Putin was spared too.,412
12,0.0,@nytimes,1.0,0.0,0.0,"RT @voxnoticias_es: Raphael Minder, el corresponsal del @nytimes amigo personal de Mas, admirador de Forcadell y gustoso tertuliano en TV3,…",413
13,0.0,@nytimes,1.0,0.0,0.0,RT @ahmed: Saudi crown prince sits down for an off the record meeting with @nytimes reporters and editors https://t.co/SlomCG714j,414
14,-0.34,@nytimes,0.897,0.103,0.0,"RT @nytimes: In Opinion,
Isabelle Robinson, a senior at Marjory Stoneman Douglas High School, writes, ""The idea that we are to blame, even…",415
15,0.34,@nytimes,0.746,0.096,0.158,"@mariolosasso @nytimes No, that's not right. If the Supreme Court says that laws prohibiting gay marriage are uncon… https://t.co/32Xjim3Ze8",416
16,-0.4404,@nytimes,0.868,0.132,0.0,"RT @scarylawyerguy: Suffice to say, during the Lewinsky scandal, the @nytimes didn't slip in a two-sentence mention of Hillary 19 paragraph…",417
17,0.0,@nytimes,1.0,0.0,0.0,RT @Santi_ABASCAL: @RaphaelMinder @ivanedlm @boye_g @Ortega_Smith Curiosa determinación del corresponsal del @nytimes por eludir las activi…,418
18,0.7506,@nytimes,0.782,0.0,0.218,"RT @DeadlineWH: ""By our count, and with the help of the excellent reporting of the @nytimes , Trump has lashed out at more than 430 targets…",419
19,0.5773,@nytimes,0.801,0.0,0.199,RT @sanchezdelreal: @ivanedlm @RaphaelMinder @boye_g @Ortega_Smith Not only that. By deliberately not mentioning terrorist background from…,420
20,-0.8225,@nytimes,0.677,0.323,0.0,RT @nytimes: A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally tripping the emer…,421
21,-0.8225,@nytimes,0.677,0.323,0.0,RT @nytimes: A fatal helicopter crash in New York’s East River may have been caused by a passenger’s harness accidentally tripping the emer…,422
22,-0.1779,@nytimes,0.702,0.298,0.0,@werddrew2420 @TraderTG @nytimes Weird question,423
23,0.0,@nytimes,1.0,0.0,0.0,RT @pfanderson: Is It Time to Give Up on Fish Oil? via @NYTimes https://t.co/jbIlPX0IKA,424
24,-0.4215,@nytimes,0.763,0.237,0.0,"Sanders lies every day. Report it, @nytimes @WSJ @FoxNews https://t.co/6UNrOV4Qnp",425
25,0.4019,@nytimes,0.636,0.117,0.247,@electrovert @nytimes Yeah well as i said he was failed by many. He needed help and he didn’t receive it. Not enoug… https://t.co/0pAgVsobHT,426
26,0.128,@nytimes,0.909,0.0,0.091,@Anon99915 @StefanKertesz @CDCgov @nytimes @JanHoffmanNYT @CMSGov ...and I have a feeling that one of their goals i… https://t.co/TnmKeEhwsB,427
