,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.5209,@CNN,0.68,0.108,0.212,"RT @CNN: ""Never mind that an undereducated population is bad for democracy -- it's good for the GOP, and so Republicans are happy to embrac…",201
1,0.0,@CNN,1.0,0.0,0.0,"RT @BrianHassine: All you nut jobs reporting tweets,  here's one everyone should mass report and shut down Ann and her Twitter feed.  Highl…",202
2,0.0,@CNN,1.0,0.0,0.0,@LinaCovfefe @Eagle50425849 @curtainpullback @JSinghF @Icon99558924 @PerryVered @JLadstone @OhRoyalOne… https://t.co/qg4bT3ITQA,203
3,-0.6808,@CNN,0.789,0.211,0.0,"RT @HoarseWisperer: Jesus H. Christmas Cookies, .@CNN.

Stop with these stupid panels of women who voted for Trump.

The host could bring i…",204
4,0.0,@CNN,1.0,0.0,0.0,@Guitarisdead @biggnm73 @CNN So I take it you didn't vote for Hillary.,205
5,0.0,@CNN,1.0,0.0,0.0,@CNN CNN polls 🤔 I guess u didn’t learn ur lesson,206
6,0.806,@CNN,0.735,0.0,0.265,"RT @CNN: ""They didn't have to kill him like that. They didn't have to shoot him that many times."" The grandmother of Stephon Clark, the you…",207
7,0.128,@CNN,0.93,0.0,0.07,RT @CNN: White House press secretary Sarah Sanders on Trump’s legal team: “The President has a highly qualified team with several individua…,208
8,0.0,@CNN,1.0,0.0,0.0,@ItsRamboRomeo @NahBabyNah @CNN @POTUS It's not a Budget,209
9,0.0,@CNN,1.0,0.0,0.0,@CNN Another CNN...soup of crap..,210
10,0.0,@CNN,1.0,0.0,0.0,RT @Cara_TXZEAL: @NHMommy1 @RadGeekpartduex @HankMullaney @BluesBrother91 @Pauldon99493747 @SemperMAGA @Known__Unknowns @Matthew____P @ljcl…,211
11,0.0,@CNN,1.0,0.0,0.0,@Hypocrisywatch1 @HUEYGUNNER1950 @CNN GQ paid model not porn star,212
12,-0.3612,@CNN,0.739,0.179,0.082,Democrats can't seem to understand why it pisses the #deplorables off when you tell them there is no God and you're… https://t.co/758QilQfeX,213
13,0.0,@CNN,1.0,0.0,0.0,"@creeknation01 @CNN @POTUS @realDonaldTrump And, who is the two-thirds? They’re just making up numbers.",214
14,0.0,@CNN,1.0,0.0,0.0,@CNN WOMEN FOR TRUMP. What has Trump done for women? What has Trump done for minorities? What has Trump done for th… https://t.co/xlWaeCvBsc,215
15,0.5209,@CNN,0.68,0.108,0.212,"RT @CNN: ""Never mind that an undereducated population is bad for democracy -- it's good for the GOP, and so Republicans are happy to embrac…",216
16,0.0,@CNN,1.0,0.0,0.0,RT @summerofsam1975: @MalenaJBenitez @chelseahandler Let me guess it was an @CNN poll?? 😂😂😂😂😂🤣,217
