,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.0,@BBC,1.0,0.0,0.0,@LinaCovfefe @Eagle50425849 @curtainpullback @JSinghF @Icon99558924 @PerryVered @JLadstone @OhRoyalOne… https://t.co/qg4bT3ITQA,1
1,-0.3204,@BBC,0.675,0.211,0.114,"RT @Robbie_Wallis1: @therealktash @paul__johnson @BBCNews Interesting, isn't it?
Looks like we need to abandon the @BBC and choose @Channel…",2
2,0.0516,@BBC,0.726,0.132,0.141,@back_the_BBC @anitathetweeter @Telegraph @BBC Because admitting to your own faults is not half as much fun as bait… https://t.co/qAiGdK2f7L,3
3,0.0,@BBC,1.0,0.0,0.0,RT @LiHongKuan: @Hello_JuneSnow @voacantonese @RFA_Chinese @BBC @bbcchinese @AFP @WSJ @GO_GO_60 @LiuGang8964 @Lionmounts @truth8964 @boxun…,4
4,0.0,@BBC,1.0,0.0,0.0,RT @LinaCovfefe: @Eagle50425849 @curtainpullback @JSinghF @cjsienna55 @Icon99558924 @PerryVered @JLadstone @OhRoyalOne @shaistasalam1 @Daus…,5
5,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,6
6,-0.6739,@BBC,0.708,0.292,0.0,@Telegraph FFS don't use @BBC everyone knows this is all we've got,7
7,0.7096,@BBC,0.595,0.093,0.312,RT @carolecadwalla: To clarify: I love @BBC. Many valid journalistic reasons why it's difficult to cover certain subjects in certain contex…,8
8,0.0,@BBC,1.0,0.0,0.0,@Eagle50425849 @curtainpullback @JSinghF @cjsienna55 @Icon99558924 @PerryVered @JLadstone @OhRoyalOne… https://t.co/J0fZOEmJNs,9
9,0.4404,@BBC,0.734,0.0,0.266,"Better be another series of ‘Mum’, @BBC. Just sayin.",10
10,0.4019,@BBC,0.856,0.0,0.144,@DonaldFrump @Channel4News @BBC @BBCNewsnight Clearly nothing on BBC news summary on alexa. Only details on footbal… https://t.co/zDGP1iRd6m,11
11,0.0,@BBC,1.0,0.0,0.0,RT @andrewgmorton: @carolecadwalla @BBC People scoffed when independence campaigners picketed BBC Scotland in 2014. They’re not scoffing no…,12
12,0.3804,@BBC,0.834,0.0,0.166,"@gsthomsons @RobWetherill1 @ScotTories @Conservatives @BBCWorld @BBCNews @BBC More importantly, we'll need to find… https://t.co/nmqHCUPwKm",13
13,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,14
14,0.0,@BBC,1.0,0.0,0.0,@therealktash @cdeaker @Robbie_Wallis1 @paul__johnson @BBCNews @BBC @Channel4News @afneil @AndrewMarr9… https://t.co/Cu4S19GCJw,15
15,-0.2732,@BBC,0.656,0.344,0.0,@DanielJHannan A new low for @BBC,16
16,0.0,@BBC,1.0,0.0,0.0,@MartinHeneghan Whenever I think of the @BBC @BBCNews I always think of them 'spouting dross',17
17,0.0,@BBC,1.0,0.0,0.0,@DonaldFrump @Channel4News @BBC @BBCNewsnight On Newsnight now.,18
18,0.4019,@BBC,0.838,0.0,0.162,@EdwardJDavey @MatthewGreen02 @BBCPolitics @BBC @bbconline Apparently there are only three parties. Labour Conservative and UKIP.,19
19,0.6973,@BBC,0.776,0.0,0.224,@BBC “Mum” please please continue with this ! It is going to be a big hit ! The son replaced! He cannot act ! Lesle… https://t.co/2kdqLP6xKW,20
20,0.34,@BBC,0.882,0.0,0.118,RT @oldmanbigkid: @AmandaauPecq @DonaldFrump @Channel4News @BBC @BBCNewsnight This is blatant and a conscious decision by the BBC to play t…,21
21,0.2158,@BBC,0.776,0.086,0.137,"Is Britannia ruling the waves @theresa_may ? For sure, not. https://t.co/AG1tMsH8J9 Be careful @INTERPOL_HQ  Theres… https://t.co/njSGY4K2cW",22
22,0.0,@BBC,1.0,0.0,0.0,"RT @oldmanbigkid: @DonaldFrump @Channel4News @BBC @BBCNewsnight I've listened to three BBC radio 2 news broadcasts since this evidence, and…",23
23,0.0,@BBC,1.0,0.0,0.0,@EdwardJDavey @BBCPolitics @BBC @bbconline It really is,24
24,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,25
25,0.34,@BBC,0.854,0.0,0.146,#Mum is an absolute diamond of a programme. A hidden gem. @BBC Cannot wait for it's return.,26
26,0.7096,@BBC,0.595,0.093,0.312,RT @carolecadwalla: To clarify: I love @BBC. Many valid journalistic reasons why it's difficult to cover certain subjects in certain contex…,27
27,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,28
28,0.0,@BBC,1.0,0.0,0.0,RT @smsdoc: @HenryCPorter @mrplannings @BBCNews You won’t get away with this sort of thing you know @BBC for ever #bbcbias,29
29,-0.2732,@BBC,0.642,0.2,0.158,RT @judithnwana: This is truly sad as world idly watches another Rwanda unfold &amp; can’t stop #Cameroon from committing atrocities/ethnic cle…,30
30,0.0,@BBC,1.0,0.0,0.0,Just listened to @BBCNews summary on Alexa. You can get details on relative of football player crashing his new Fer… https://t.co/WBT16e8Lsk,31
31,0.7096,@BBC,0.595,0.093,0.312,RT @carolecadwalla: To clarify: I love @BBC. Many valid journalistic reasons why it's difficult to cover certain subjects in certain contex…,32
32,-0.6705,@BBC,0.755,0.245,0.0,"RT @beingrichard: Why rants of RW papers, nagging of #neolibs in @BBC &amp; @Guardian and treacherous tricks of #Blairites end up backfiring: t…",33
33,0.0,@BBC,1.0,0.0,0.0,@EdwardJDavey @MatthewGreen02 @BBCPolitics @BBC @bbconline Even Sky seemed to refer to it in a sleezy kind of way;… https://t.co/Y6mOENcWYx,34
34,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,35
35,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,36
36,0.0,@BBC,1.0,0.0,0.0,@Kambua @mwendemacharia1 @radiomaisha @katyperry @EmmyKosgei @lucyhale @GraceMsalame @shakira @selenagomez… https://t.co/gSQvJ8D80R,37
37,0.2732,@BBC,0.9,0.0,0.1,"Well done @BBC, a total of 10 secs on the 10 o’clock news on the testimony from #christopherwylie regarding serious… https://t.co/hDImJAl4ZZ",38
38,0.624,@BBC,0.423,0.0,0.577,@BBC #mum absolutely Brilliant,39
39,0.0,@BBC,1.0,0.0,0.0,"RT @ProfElvanAktas: “Kanlı Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…",40
40,0.0,@BBC,1.0,0.0,0.0,"RT @SteveDavidMike2: 95,000 Tweets in 9 months #Purpose #Movement VLAD🇦🇩👍🌷@SteveDavidMikeV 😁@RealDonaldTrump🇺🇸@POTUS @JustinTrudeau🇨🇦@Justi…",41
41,0.2235,@BBC,0.905,0.0,0.095,@carolecadwalla @helenyg @BBC The BBC news won’t make a move without sanction from No 10 press officers. They reach… https://t.co/hHBjRwOA2k,42
42,0.0,@BBC,1.0,0.0,0.0,@BBCWorld @BBC @tjparfitt @ReutersWorld @BeatrizTalegon @__CarmenLopez @Carbazas_ @SusodeToro1 @lizcastro… https://t.co/pdpymxBFN8,43
43,0.0,@BBC,1.0,0.0,0.0,RT @HOLLMANMORRIS: En este momento con @LucyAAsh de @BBC hablando sobre el clientelismo en Colombia. https://t.co/PWdxbpppzx,44
44,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,45
45,0.0,@BBC,1.0,0.0,0.0,RT @carolecadwalla: Last week's story about about Facebook? The one that wiped $79 billion off the stock price? It was dropped by @BBC's Pa…,46
46,0.0,@BBC,1.0,0.0,0.0,RT @carolecadwalla: Last week's story about about Facebook? The one that wiped $79 billion off the stock price? It was dropped by @BBC's Pa…,47
47,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,48
48,0.5598,@BBC,0.84,0.0,0.16,"It is so nice to have @afneil balancing out all the #FakeNews .
I still can't believe he works for @BBC . https://t.co/7btSvsJcV5",49
49,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,50
50,0.0,@BBC,1.0,0.0,0.0,RT @LinaCovfefe: @curtainpullback @JSinghF @cjsienna55 @Icon99558924 @PerryVered @JLadstone @OhRoyalOne @shaistasalam1 @Eagle50425849 @Daus…,51
51,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,52
52,-0.3182,@BBC,0.881,0.119,0.0,Facebook’s Mark Zuckerberg sticks two fingers up to British parliamentary committee over the accusations of data le… https://t.co/S6XOsxg9BS,53
53,-0.7003,@BBC,0.736,0.264,0.0,RT @EdwardJDavey: Classic example of BBC bias against Lib Dems - report fails to mention today’s emergency debate was called by LibDems or…,54
54,0.0,@BBC,1.0,0.0,0.0,"RT @ma_liky_: @intheMatrixxx @POTUS Article from @BBC 
https://t.co/itCWpfC9Ws

And this is known about that group #Hollywood 👇👇
https://t.…",55
55,0.0,@BBC,1.0,0.0,0.0,RT @BBC: ❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,56
56,0.3802,@BBC,0.88,0.0,0.12,"RT @Lifelandlady: Hey @BBC 

Just a reminder you are a PUBLIC service provider

NOT

a STATE service provider!

Please amend your news cove…",57
57,0.7096,@BBC,0.595,0.093,0.312,RT @carolecadwalla: To clarify: I love @BBC. Many valid journalistic reasons why it's difficult to cover certain subjects in certain contex…,58
